Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3,Dato curioso de la pregunta
¿Cuál es la capital del estado de Zacatecas?,Zacatecas,Guadalupe,Fresnillo,Jerez,Zacatecas es uno de los 3 estados que repite su nombre para su capital.
¿Cuántos municipios tiene Zacatecas?,58,32,43,67,Zacatecas está en el puesto 8 en estados con más municipios
¿Cuántos habitantes registró Zacatecas en el Censo 2020?,"1,622,138","2,540,390","980,756","3,100,245",Es uno de los estados con menor cantidad de habitantes
¿Cuál era la densidad de población de Zacatecas en 2020?,22 habitantes por km²,64 habitantes por km²,90 habitantes por km²,11 habitantes por km²,Tiene una densidad baja comparada con el promedio nacional.
¿Cuál es la clave de entidad federativa de Zacatecas?,32,5,14,24,El orden de las claves del INEGI es alfabético; por eso Zacatecas tiene el último número
¿Con qué estado limita Zacatecas al este?,San Luis Potosí,Baja California,Campeche,Querétaro,Su frontera une históricamente el Altiplano con la región Huasteca.
¿Qué municipio zacatecano está entre los más extensos del estado?,Mazapil,Momax,Vetagrande,Luis Moya,Es tan grande que representa más del 16% de todo el territorio estatal.
¿Cuál de estos municipios está entre los de menor superficie en Zacatecas?,Vetagrande,Mazapil,Valparaíso,Villa de Cos,Su territorio es tan pequeño que cabe casi 200 veces dentro de Mazapil.
¿Cuál de estos municipios también está entre los más extensos de Zacatecas?,Villa de Cos,Guadalupe,Trancoso,Momax,"A pesar de ser una zona muy árida, es líder nacional en producción de chile seco."
¿Cuál de estos municipios se ubica en la región centro-sur y contiene La Quemada?,Villanueva,Sombrerete,Fresnillo,Ojocaliente,"Es considerada históricamente la cuna del ""tamborazo"", la música icónica del estado."
¿Cuántos Pueblos Mágicos tiene Zacatecas?,7,3,9,12,"Con 7 nombramientos, es uno de los estados con más Pueblos Mágicos del país."
¿Cuál de estos es Pueblo Mágico de Zacatecas?,Jerez,Tepic,Tequila,Comala,Fue el primer Pueblo Mágico de Zacatecas (2007) y destaca por su Sábado de Gloria.
¿Cuál de estos es Pueblo Mágico zacatecano?,Sombrerete,Taxco,Atlixco,Real del Monte,"Se llama así por el cerro del ""Sombreretillo"", cuya forma recuerda a un sombrero."
¿Qué Pueblo Mágico de Zacatecas lleva el nombre de González Ortega?,Teúl,Pinos,Guadalupe,Villanueva,Es el único Pueblo Mágico zacatecano con una zona arqueológica en su cabecera.
¿Cuál de estos Pueblos Mágicos zacatecanos está al sureste del estado?,Pinos,Jerez,Sombrerete,Fresnillo,En su época de bonanza minera llegó a albergar más de 20 haciendas operando.
¿Qué Pueblo Mágico de Zacatecas se llama Nochistlán de Mejía?,Nochistlán,Calvillo,Metepec,Bernal,En este lugar se fundó originalmente la ciudad de Guadalajara en el año 1532.
¿Qué Pueblo Mágico zacatecano comparte zona metropolitana con la capital?,Guadalupe,Jalpa,Río Grande,Concepción del Oro,Su Colegio Apostólico fue el centro de evangelización más grande del norte de América.
¿Qué Pueblo Mágico de Zacatecas fue añadido a la lista junto con otros destinos recientes?,Villanueva,Mazapil,Calera,Ojocaliente,Recibió el nombramiento en 2023 gracias a su fuerte turismo religioso y haciendas.
¿En qué año fue inscrito el Centro Histórico de Zacatecas como Patrimonio Mundial?,1993,1810,1917,2000,La UNESCO la premió porque su traza urbana se adaptó por completo a un cañón natural.
¿En qué año se fundó la ciudad de Zacatecas?,1546,1325,1810,1914,"Nació un 8 de septiembre tras hallar plata, fecha en la que hoy se celebra la feria estatal."
¿Qué metal impulsó históricamente el auge de Zacatecas?,Plata,Cobre,Aluminio,Estaño,Su masiva extracción de plata ayudó a sostener la economía del Imperio Español.
¿Entre qué años se construyó aproximadamente la Catedral de Zacatecas?,1730 y 1760,1521 y 1530,1810 y 1821,1900 y 1910,Se construyó cobrando un impuesto directo por cada barra de plata extraída en las minas.
¿Qué estilo artístico destaca en la fachada de la Catedral de Zacatecas?,Barroco,Gótico inglés,Minimalista,Art déco,Su fachada churrigueresca es tan detallada que el tallado en piedra parece un encaje.
¿Qué ruta cultural de la UNESCO incluye sitios de Zacatecas?,Camino Real de Tierra Adentro,Ruta Puuc,Camino Inca,Ruta de la Seda,"Esta red comercial unía la Ciudad de México con Santa Fe, hoy en Estados Unidos."
¿En qué año ocurrió la Toma de Zacatecas durante la Revolución Mexicana?,1914,1810,1847,1968,"Ocurrida el 23 de junio, esta histórica batalla definió el rumbo de la Revolución."
¿Qué cerro zacatecano está muy ligado a la Toma de Zacatecas?,Cerro de la Bufa,Cerro de la Silla,Nevado de Toluca,Cerro del Cubilete,"La palabra ""bufa"" es de origen aragonés y significa originalmente ""vejiga de cerdo""."
¿Qué personaje revolucionario se asocia con la Toma de Zacatecas?,Francisco Villa,Benito Juárez,Miguel Hidalgo,Porfirio Díaz,Villa desobedeció las órdenes de Carranza de no avanzar para lograr esta gran victoria.
¿Cómo se conoce popularmente a Zacatecas capital por su historia y carácter cultural?,Bizarra Capital,La Perla Tapatía,La Sultana del Norte,La Angelópolis,El término proviene de un poema de Ramón López Velarde y significa valiente o gallarda.
¿Qué zona arqueológica se localiza a unos 56 km al sur de la ciudad de Zacatecas?,La Quemada,Palenque,Monte Albán,El Tajín,"En el siglo XIX se creía erróneamente que este sitio era Chicomóztoc, el origen de los aztecas."
