Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3,Dato curioso de la pregunta
¿Cuál es la capital de Coahuila?,Saltillo,Torreón,Monclova,Piedras Negras,"El nombre original de la ciudad era Santiago del Saltillo, fundada a finales del siglo XVI."
¿Cuál es el nombre oficial completo del estado?,Coahuila de Zaragoza,Coahuila del Norte,Estado de Saltillo,Nueva Coahuila,"Se le nombró así en honor al general Ignacio Zaragoza, héroe de la Batalla de Puebla."
¿Con qué país limita Coahuila al norte?,Estados Unidos,Guatemala,Belice,Canadá,Su frontera norte conecta comercialmente con una de las economías más fuertes del mundo.
¿Con qué estado de Estados Unidos colinda Coahuila?,Texas,California,Arizona,Nuevo México,Comparte con este estado una extensa frontera natural delimitada por el cauce de un río.
¿Qué río marca parte de la frontera entre Coahuila y Estados Unidos?,Río Bravo,Río Nazas,Río Lerma,Río Balsas,Es uno de los ríos más largos de Norteamérica y sirve de límite internacional desde 1848.
¿Cuántos municipios tiene Coahuila?,38,32,43,58,Ocupa una posición intermedia a nivel nacional en cuanto a su número de municipios.
¿Qué desierto cubre gran parte del territorio coahuilense?,Desierto de Chihuahua,Desierto de Sonora,Desierto de Altar,Desierto de Vizcaíno,Es el desierto más grande de Norteamérica y destaca por su enorme biodiversidad.
¿Qué ciudad coahuilense forma parte importante de la Comarca Lagunera?,Torreón,Saltillo,Acuña,Múzquiz,Esta zona es famosa a nivel nacional por su enorme relevancia agrícola y vitivinícola.
¿Qué ciudad de Coahuila es conocida por su industria acerera?,Monclova,Parras de la Fuente,Viesca,Candela,"Es apodada ""La capital del acero"" debido a que alberga una de las siderúrgicas más grandes."
¿Qué región de Coahuila se asocia históricamente con la extracción de carbón?,Región Carbonífera,Región Huasteca,Región Maya,Región Mixteca,Esta cuenca provee casi la totalidad del carbón mineral que se extrae en todo México.
¿Qué producto artesanal es símbolo tradicional de Saltillo?,Sarape,Talavera,Alebrije,Sombrero jipi,Esta prenda es tan icónica que dio origen al famoso sarape multicolor conocido a nivel mundial.
"¿Qué museo de Saltillo se centra en desiertos, fósiles y biodiversidad?",Museo del Desierto,Museo Soumaya,Museo Nacional de Antropología,Museo del Templo Mayor,Cuenta con una de las colecciones de fósiles de dinosaurio más importantes de Latinoamérica.
¿Qué museo de Saltillo está dedicado a las aves de México?,Museo de las Aves de México,Museo del Acero,Museo de la Ballena,Museo del Ferrocarril,"Resguarda una colección única con más de 3,000 ejemplares de aves disecadas del país."
¿Qué Pueblo Mágico de Coahuila es famoso por sus pozas y humedales?,Cuatro Ciénegas,Arteaga,Guerrero,Nava,Sus pozas albergan organismos endémicos que han sobrevivido desde la época prehistórica.
¿Qué municipio coahuilense es famoso por su tradición vitivinícola?,Parras de la Fuente,Acuña,San Pedro,Frontera,Es considerada históricamente como la cuna de la vitivinicultura en todo el continente americano.
¿Qué antigua casa vinícola se ubica en Parras de la Fuente?,Casa Madero,Casa Azul,Casa Barragán,Casa Carranza,"Fundada en 1597, es formalmente la bodega vinícola más antigua de toda América."
¿Qué sierra atraviesa zonas del sureste de Coahuila?,Sierra Madre Oriental,Sierra Madre del Sur,Sierra de Baja California,Sierra de los Tuxtlas,Esta cordillera es hogar de imponentes bosques de pino y especies como el oso negro.
¿En qué municipio se encuentra la zona paleontológica de Rincón Colorado?,General Cepeda,Piedras Negras,Matamoros,Allende,"Es una de las zonas paleontológicas más ricas del país, apodada ""Tierra de Dinosaurios""."
¿Qué dinosaurio descubierto en Coahuila lleva el nombre del estado?,Velafrons coahuilensis,Tyrannosaurus rex,Brachiosaurus altithorax,Stegosaurus stenops,Fue el primer dinosaurio colectado y científicamente nominado que es 100% mexicano.
¿Qué tipo de dinosaurios herbívoros se han encontrado en Rincón Colorado?,Hadrosaurios,Pterosaurios,Mosasaurios,Anquilosaurios,"Estos animales prehistóricos son popularmente conocidos como los ""dinosaurios pico de pato""."
¿Qué zona natural de Coahuila es conocida por tener estromatolitos?,Cuatro Ciénegas,La Huasteca,Isla Espíritu Santo,Nevado de Toluca,Los estromatolitos de esta zona son estructuras vivas que oxigenaron la Tierra primitiva.
¿Qué formación natural destaca en las Dunas de Yeso de Coahuila?,Arena blanca de yeso,Lava volcánica negra,Hielo permanente,Coral marino vivo,Es un paisaje único en el país formado por cristales de sulfato de calcio puro.
