Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3,Dato curioso de la pregunta
¿Cuál es la capital del estado de Durango?,Victoria de Durango,Gómez Palacio,Lerdo,Santiago Papasquiaro,Fue bautizada así por el conquistador Francisco de Ibarra en honor a la localidad española de Durango.
¿Cuál es el gentilicio de las personas originarias de Durango?,Duranguense,Durangueño,Durandense,Duranguita,"Es el término oficial, aunque coloquialmente en muchas partes de México se les llama ""duranguenses""."
¿Cuántos municipios tiene el estado de Durango?,39,32,58,43,"Curiosamente, el estado de Durango tiene exactamente la misma cantidad de municipios que el estado de Puebla tiene en una sola región."
¿Cuál es el municipio más poblado de Durango según el Censo 2020?,Durango,Gómez Palacio,Lerdo,Canatlán,Concentra a más de la tercera parte de toda la población que habita en el estado.
¿Con qué estado limita Durango al norte?,Chihuahua,Jalisco,Aguascalientes,Tlaxcala,Comparten una inmensa frontera desértica y la famosa e histórica región minera del norte.
¿Con qué estado limita Durango al este?,Coahuila,Sonora,Colima,Morelos,La conectividad entre ambos estados es clave para la economía ganadera e industrial de la región Laguna.
¿Con qué estado limita Durango al oeste?,Sinaloa,Tabasco,Yucatán,Querétaro,Esta colindancia montañosa da paso a espectaculares cañones y a la transición hacia el Océano Pacífico.
¿Qué sierra atraviesa gran parte del occidente de Durango?,Sierra Madre Occidental,Sierra Madre Oriental,Sierra de Guadalupe,Sierra de la Laguna,Es la cadena montañosa más larga de México y alberga una de las mayores reservas de pinos del mundo.
¿Qué río importante nace en la Sierra Madre Occidental y se relaciona con Durango?,Río Nazas,Río Papaloapan,Río Grijalva,Río Usumacinta,"Es un río endorreico, lo que significa que sus aguas no desembocan en el mar, sino en lagunas del desierto."
¿Qué zona desértica se asocia con el noreste de Durango?,Bolsón de Mapimí,Desierto de Altar,Selva Lacandona,Valle de Tehuacán,"Alberga la famosa ""Zona del Silencio"", conocida por mitos urbanos y por su flora y fauna únicas."
¿Qué ciudad duranguense forma parte central de la Comarca Lagunera?,Gómez Palacio,Mazatlán,Fresnillo,Tequila,"Es un pilar industrial de la Comarca Lagunera, destacando fuertemente en el sector lechero y manufacturero."
¿Qué municipio duranguense está junto a Gómez Palacio en La Laguna?,Lerdo,Tamazula,Mezquital,Topia,Forma parte de la zona metropolitana de la Laguna y es famosa por sus tradicionales Helados Chepo.
¿Cuál de estos lugares de Durango es Pueblo Mágico?,Mapimí,Vicente Guerrero,Nuevo Ideal,Ocampo,"En su época de esplendor minero, se extrajeron de aquí toneladas de valiosos minerales como la ojuelita."
¿Cuál es otro Pueblo Mágico de Durango?,Nombre de Dios,Tlahualilo,Rodeo,Peñón Blanco,Es la localidad más antigua del estado y cuenta con hermosas cascadas como El Saltito.
¿Qué localidad es considerada una de las más antiguas de Durango?,Nombre de Dios,El Salto,Gómez Palacio,Santa María del Oro,Se fundó originalmente en 1562 como un punto de avanzada para los misioneros franciscanos.
¿Cómo fue llamado originalmente Nombre de Dios según referencias turísticas?,Villa de los Cuatro Templos,Villa de la Plata,Real del Mezquite,San Pedro del Desierto,"El nombre prehispánico del asentamiento indígena donde se fundó era ""Niño de Dios""."
¿Qué puente colgante es un atractivo famoso de Mapimí?,Puente de Ojuela,Puente Baluarte,Puente Tampico,Puente de Metlac,Fue diseñado por el mismo ingeniero que construyó la Torre Eiffel y cruza un imponente cañón.
¿Qué actividad histórica hizo famoso a Mapimí?,Minería,Pesca de perlas,Industria petrolera,Cultivo de cacao,"La mina de Ojuela fue tan rica que impulsó el nacimiento de todo un pueblo, hoy convertido en fantasma."
¿Cuál es una zona arqueológica importante cerca de la ciudad de Durango?,La Ferrería,Palenque,Monte Albán,El Tajín,"Es el asentamiento arqueológico más importante del estado, edificado sobre un gran cerro de piedra."
¿Con qué cultura se relaciona principalmente La Ferrería?,Chalchihuites,Olmeca,Maya,Totonaca,Esta cultura destaca por su arquitectura de piedra y por ser la más septentrional de Mesoamérica.
¿Qué elemento arqueológico se ha identificado en La Ferrería?,Cancha de juego de pelota,Pirámide del Sol,Observatorio de Chichén Itzá,Cabeza colosal olmeca,Su orientación y estructura demuestran que el sitio tenía una función astronómica y ritual.
¿Aproximadamente a cuántos kilómetros del centro de Durango está La Ferrería?,7 kilómetros,50 kilómetros,120 kilómetros,200 kilómetros,"Al estar tan cerca de la capital, es uno de los sitios arqueológicos más accesibles del norte del país."
¿En qué edificio histórico se ubica el Museo Francisco Villa?,Palacio Zambrano,Palacio de Bellas Artes,Castillo de Chapultepec,Palacio de Minería,Este majestuoso palacio barroco del siglo XVIII fue construido originalmente para un rico minero.
¿A qué personaje histórico está dedicado el Museo Francisco Villa?,Francisco Villa,Miguel Hidalgo,Benito Juárez,Porfirio Díaz,El museo cuenta con salas interactivas que narran sus batallas y muestran armas originales de la época.
¿En qué comunidad de Durango nació Francisco Villa?,La Coyotada,Mapimí,Nombre de Dios,El Salto,Esta pequeña comunidad rural vio nacer al líder revolucionario antes de que cambiara su nombre.
¿Cuál fue el nombre de nacimiento de Francisco Villa?,José Doroteo Arango Arámbula,José María Morelos y Pavón,Venustiano Carranza Garza,Álvaro Obregón Salido,"Se dice que eligió el alias de ""Francisco Villa"" en honor al jefe de una banda que lo refugió."
¿Qué primer presidente de México nació en Durango?,Guadalupe Victoria,Vicente Guerrero,Manuel Ávila Camacho,Adolfo López Mateos,Cambió su nombre original (José Miguel Ramón Adaucto) como homenaje a la Virgen y a la victoria insurgente.
¿Qué municipio duranguense es cuna de Guadalupe Victoria?,Tamazula,Canatlán,Mapimí,Pánuco de Coronado,"Es una zona semiárida y templada, históricamente clave por su producción de mezcal artesanal."
¿Qué conquistador fundó la ciudad de Durango en el siglo XVI?,Francisco de Ibarra,Hernán Cortés,Nuño de Guzmán,Juan de Oñate,"Tenía solo 24 años cuando fundó la ciudad, maravillado por la gran cantidad de plata de la región."
¿En qué año se fundó la ciudad de Durango?,1563,1810,1521,1917,"Fue fundada formalmente un 8 de julio, día en el que se celebra la fiesta más grande del estado."
